name,city,district,address,phone,email,source_url,verify,hook,notes
臺中市私立育華幼兒園,臺中市,北屯區,臺中市北屯區廍子里13鄰太和路一段58、60號,(04)23915443,comtopk5@mail.skyschool.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立頂尖幼兒園,臺中市,北屯區,"臺中市北屯區仁和里16鄰豐樂北一路30號1,2,3樓",(04)24229455,dingjiantopschool@gmail.com,https://dingjian.topschool.tw/Home/Main,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
財團法人愛彌兒教育基金會附設臺中市私立旅順愛彌兒幼兒園,臺中市,北屯區,"臺中市北屯區平陽里4鄰旅順路一段26號1,2,3樓",(04)22973253,service@kidsemile.com.tw,http://www.kidsemile.com.tw/webnew/about.html,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
四季市政教育事業股份有限公司附設臺中市私立四季藝術幼兒園,臺中市,南屯區,臺中市南屯區三厝里25鄰大墩十一街463、463-2、463-3號,(04)23802222,tang@seasonart.org,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立大地幼兒園,臺中市,南屯區,臺中市南屯區寶山里21鄰忠勇路160號,(04)23873577,a08818@ms61.hinet.net,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立安徒生幼兒園,臺中市,南屯區,臺中市南屯區向心里5鄰豐富路299巷25-1號,(04)24721879,mm51620@yahoo.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立小河馬幼兒園,臺中市,南屯區,臺中市南屯區南屯里31鄰河南路四段652號,(04)23850352,hessweb@hess.com.tw,https://www.hess.com.tw/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
臺中市私立群佳幼兒園,臺中市,南屯區,臺中市南屯區大興里13鄰大墩南路472巷7號,(04)24738945,sweat6828@msn.com,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立迪兒邨幼兒園,臺中市,南屯區,臺中市南屯區田心里10鄰大墩六街319巷58號,(04)23808061,ideal.school@msa.hinet.net,https://ideal.topschool.tw/Home/Main,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
臺中市私立克麗斯玎幼兒園,臺中市,大雅區,臺中市大雅區大雅里2鄰學府路250巷97弄1號1、2、3樓,(04)25651788,chriskind1788@yahoo.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立育山幼兒園,臺中市,大雅區,臺中市大雅區雅楓里7鄰神林南路101巷1號1、2樓,(04)25602726,yu.san8510@msa.hinet.net,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立台大幼兒園,臺中市,西屯區,"臺中市西屯區福雅里25鄰福雅路150號1,2樓",(04)24633060,tai.da@msa.hinet.net,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立培德幼兒園,臺中市,西屯區,臺中市西屯區西平里1鄰西安街118號,(04)27078000,sophia5652@yahoo.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立小熊多元智慧幼兒園,臺中市,西屯區,臺中市西屯區上安里1鄰臺灣大道三段556巷1弄14號,(04)36093058,irenelin0628@gmail.com,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立康爾嘉幼兒園,臺中市,西屯區,臺中市西屯區上安里1鄰上安路39巷16號,(04)35005800,match2love@gmail.com,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立慈英幼兒園,臺中市,西屯區,臺中市西屯區福雅里2鄰永福路22巷37、39號,(04)24633779,yeh451230@hotmail.com,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立新劍聲幼兒園,臺中市,西屯區,臺中市西屯區何成里28鄰大祥街125號,(04)23296853,myjskids@gmail.com,https://www.jskid.com.tw/org-management/%E6%96%B0%E5%BA%97%E5%8A%8D%E8%81%B2%E5%B9%BC%E5%85%92%E5%9C%92/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 5 個公開信箱
臺中市私立維多利亞協和幼兒園,臺中市,西屯區,臺中市西屯區協和里2鄰協和北巷6-1號,(04)23506919,vict6919@gmail.com,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
臺中市私立逢甲幼兒園,臺中市,西屯區,"臺中市西屯區西安里7鄰西安街78號1,2,3樓",(04)27018008,feng.chia.kids@gmail.com,http://www.fc-kid.com.tw/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
臺中市西屯區上安國民小學附設幼兒園,臺中市,西屯區,臺中市西屯區至善里16鄰上安路156號,(04)24527322#771,saes@saes.tc.edu.tw,https://saes.tc.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
臺中市西屯區大仁國民小學附設幼兒園,臺中市,西屯區,臺中市西屯區何德里15鄰重慶路200號,(04)23134545#6791,dres@dres.tc.edu.tw,https://dres.tc.edu.tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
臺中市西屯區大鵬國民小學附設幼兒園,臺中市,西屯區,臺中市西屯區大鵬里1鄰中平路268號,(04)22988451,personnel@dpes.tc.edu.tw,https://dpes.tc.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
麗�網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
麗喆學校財團法人臺中市麗喆國民中小學附設私立麗喆幼兒園,臺中市,西屯區,臺中市西屯區林厝里10鄰國安二路242巷199號,(04)24613099#601,wangshintin@korrnell-lz.com.tw,https://www.labor.taichung.gov.tw/media/389230/%E5%85%B7%E6%84%8F%E9%A1%98%E5%90%88%E4%BD%9C%E5%B9%BC%E6%89%98%E6%A9%9F%E6%A7%8B-0713.pdf,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,取自臺中市勞工局公開〈具合作意願之幼托機構名單〉聯絡欄，非猜箱。
南投縣中寮鄉永康國民小學附設幼兒園,南投縣,中寮鄉,南投縣中寮鄉永福村5鄰仙峰巷44號,(049)2691455#19,t22239@ukps.ntct.edu.tw,https://ukps.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣信義鄉久美國民小學附設幼兒園,南投縣,信義鄉,南投縣信義鄉望美村5鄰美信巷54號,(049)2832482,2831506@gmail.com,https://jmps.ntct.edu.tw/p/404-1148-32674.php?Lang=zh-tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱
南投縣信義鄉桐林國民小學附設幼兒園,南投縣,信義鄉,南投縣信義鄉同富村10鄰太平巷18號,(049)2701483#27,karta2739122@go.edu.tw,https://tlps.ntct.edu.tw/p/412-1145-9944.php?Lang=zh-tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣南投市光復國民小學附設幼兒園,南投縣,南投市,南投縣南投市光明里27鄰光明一路67號,(049)2331995#21,nantoucitykfups@gmail.com,https://kfups.ntct.edu.tw/p/412-1045-8150.php?Lang=zh-tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱
南投縣南投市嘉和國民小學附設幼兒園,南投縣,南投市,南投縣南投市嘉和里3鄰彰南路一段639巷80號,(049)2222430#117,t19136@mail.edu.tw,https://jhops.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣南投市平和國民小學附設幼兒園,南投縣,南投市,南投縣南投市平和里19鄰育樂路62號,(049)2225457,phkidedu@gmail.com,https://sites.google.com/view/phkidedu,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱
南投縣南投市文山國民小學附設幼兒園,南投縣,南投市,南投縣南投市福山里11鄰八卦路349號,(049)2291394,t00222@mail.edu.tw,https://wsps.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣私立基督教大衛王幼兒園,南投縣,南投市,南投縣南投市康壽里4鄰玉井街110號,(049)2232231,kingdavidlove2232231@gmail.com,https://kingdavidlove.blogspot.com/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
南投縣私立格林幼兒園,南投縣,南投市,南投縣南投市振興里20鄰?稟路72號,(049)2203966,green.kid72@msa.hinet.net,https://www.greenkids.com.tw/,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
財團法人中華基督教中興新村浸信會附設南投縣私立信望愛幼兒園,南投縣,南投市,南投縣南投市營北里27鄰中正路220及220-2號,(049)2316212,sway.school@msa.hinet.net,https://2316212.topschool.tw/Home/Main,website-clear,招生簡章、體驗活動單、家長通訊：A4/A3 彩色雙面、80磅即可，不做厚紙／上膜／裝訂。,官網掃到 1 個公開信箱
南投縣埔里鎮史港國民小學附設幼兒園,南投縣,埔里鎮,南投縣埔里鎮史港里8鄰獅子路9號,(049)2931521#71,azstone08@gmail.com,https://skps.ntct.edu.tw/p/412-1050-5015.php,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱
南投縣埔里鎮埔里國民小學附設幼兒園,南投縣,埔里鎮,南投縣埔里鎮西門里9鄰西康路127號,(049)2982034#075,t17815@mail.edu.tw,https://ples.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣埔里鎮愛蘭國民小學附設幼兒園,南投縣,埔里鎮,南投縣埔里鎮愛蘭里11鄰鐵山路7號,(049)2912514,sh85216s@gmail.com,https://alps.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱
南投縣埔里鎮水尾國民小學附設幼兒園,南投縣,埔里鎮,南投縣埔里鎮一新里8鄰永豐路92號,(049)2932506#167,t01055@mail.edu.tw,https://sups.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣埔里鎮溪南國民小學附設幼兒園,南投縣,埔里鎮,南投縣埔里鎮溪南里8鄰珠生路68號,(049)2904517#301,t02342@snps.ntct.edu.tw,https://snps.ntct.edu.tw/p/404-1052-257386.php?Lang=zh-tw,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 2 個公開信箱；信箱取自附設國小／園所官網聯絡頁，非猜箱。
南投縣水里鄉新興國民小學附設幼兒園,南投縣,水里鄉,南投縣水里鄉新興村8鄰新興巷15號,(049)2811080,ssepsamy@gmail.com,https://sseps.ntct.edu.tw/,website-clear,家長通知單、招生公告、學習單：A4/A3、80磅、黑白或彩色、單雙面即可，無需厚紙或後加工。,官網掃到 1 個公開信箱
